MAL_ID,Name,MAL Score,English name,Type,Episodes,Studios,Source,Duration,Rating,Year,Stats Score,Action,Comedy,Drama,Fantasy,Historical,Horror,Kids,Magic,Music,Parody,Romance,School,Sci-Fi,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life
6832,Shoujouji no Tanuki-bayashi Ban Danemon,5.16,Danemon's Monster Hunt at Shojoji,Movie,1,Unknown,Original,9,G - All Ages,1935,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6835,Umi no Mizu wa Naze Karai,5.7,Why is the Sea Water Salty?,Movie,1,Unknown,Original,10,G - All Ages,1935,5.64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6836,Issunboushi: Chibisuke Monogatari,5.08,Tiny Chibisuke's Big Adventure,Movie,1,Unknown,Original,9,G - All Ages,1935,4.92,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17076,Chagama Ondo,5.07,Unknown,Movie,1,Unknown,Original,6,G - All Ages,1935,4.82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24981,Yowamushi Chinsengumi,0,Unknown,Movie,1,Unknown,Original,5,G - All Ages,1935,5.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30018,Norakuro Nitouhei,5.68,Unknown,Movie,1,Unknown,Manga,11,G - All Ages,1935,4.89,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30019,Norakuro Ittouhei,5.32,Unknown,Movie,1,Unknown,Manga,10,G - All Ages,1935,4.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35389,Inaba no Kuni no Usagi-san,5.25,The Hare in Inaba,Movie,1,Unknown,Original,9,G - All Ages,1935,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36701,Ari to Kaeru,0,Unknown,Movie,1,Unknown,Original,9,G - All Ages,1935,4.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5838,Furudera no Obake-soudou,5.16,Taro's Monster Hunt,Movie,1,Unknown,Original,5,G - All Ages,1936,4.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6827,Suzume no Oyado,5.35,The Sparrows' Lodge,Movie,1,Unknown,Unknown,10,G - All Ages,1936,5.14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6829,Izakaya no Ichiya,5.28,Over a Drink,Movie,1,Unknown,Original,10,G - All Ages,1936,5.07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6839,Hinomaru Tarou: Musha Shugyou no Maki,4.87,Taro's Early Training Days,Movie,1,Unknown,Original,5,G - All Ages,1936,4.54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12803,Chinkoroheibei Tamatebako,5.22,Chinkoroheibei and the Treasure Box,Movie,1,Unknown,Original,8,G - All Ages,1936,4.9,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31912,Shinsetsu Kachikachi Yama,5.13,Unknown,Movie,1,Unknown,Original,6,G - All Ages,1936,4.86,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35394,Oira no Hijouji,5.17,My Big Emergency,Movie,1,Unknown,Original,11,G - All Ages,1936,4.57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7500,Maabou no Shounen Koukuu Tsuwamono,0,Unknown,Movie,1,Unknown,Original,11,G - All Ages,1937,5.55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6841,Maabou no Kinoshita Toukichirou,5.12,Mabo as Tokichiro Kinoshita,Movie,1,Unknown,Original,6,G - All Ages,1938,4.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30012,Tekusuke Monogatari,5.49,Unknown,Movie,1,Unknown,Unknown,9,G - All Ages,1938,4.56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31948,Sora no Arawashi,0,Unknown,Movie,1,Unknown,Original,9,G - All Ages,1938,5.73,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6842,Oyoge ya Oyoge,5.08,"Swim, Monkey, Swim!",Movie,1,Unknown,Original,10,G - All Ages,1939,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12561,Benkei tai Ushiwaka,5.4,Unknown,Movie,1,Unknown,Other,13,G - All Ages,1939,5.19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
