name,especie,era,country,diet,type,superorder,order,suborder,clade
leptoceratops,gracilis,Cretaceous,USA,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
lesothosaurus,diagnosticus,Jurassic,Lesotho,herbivorous,1.0m,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
liaoceratops,yanzigouensis,Cretaceous,China,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
ligabuesaurus,leanzai,Cretaceous,Argentina,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
lophorhothon,atopus,Cretaceous,USA,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
lophostropheus,airelensis,Jurassic,France,carnivorous,large theropod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
lufengosaurus,huenei,Jurassic,China,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Prosauropoda
lurdusaurus,arenatus,Cretaceous,Niger,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
magyarosaurus,dacus,Cretaceous,Romania,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
maiasaura,peeblesorum,Cretaceous,USA,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
majungasaurus,atopus,Cretaceous,Madagascar,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Ceratosauria
malawisaurus,dixeyi,Cretaceous,Malawi,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
mamenchisaurus,constructus,Jurassic,China,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
mapusaurus,roseae,Cretaceous,Argentina,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Carnosauria
masiakasaurus,knopfleri,Cretaceous,Madagascar,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Ceratosauria
